"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"2700","0.0","607","[""HIST""]","6","""0/999""","","[""Jeane DeLaney""]","""1/999""","200","","999","""FLC-Spanish""","257","false","""L""","2","""1/999""","""1/999""","""C""","20012","","""Research""","2001"
"2701","1.0","625","[""HIST""]","1","""0/999""","","[""Richard A. Olson""]","""0/999""","200","","999","""IS/Education Dev't""","298","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2702","1.0","625","[""HIST""]","1","""0/999""","","[""Richard A. Olson""]","""0/999""","200","","999","""IS/Early Middle East""","298","false","""A""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2703","1.0","642","[""HIST""]","1","""0/999""","","[""Richard A. Olson""]","""0/999""","300","","999","""IR/Ancient Marriage""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2704","1.0","642","[""HIST""]","1","""0/999""","","[""Richard A. Olson""]","""0/999""","300","","999","""IR/Greek Warfare""","398","false","""A""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2705","1.0","644","[""HSPST""]","1","""0/999""","","[""Christopher L. Chiappari""]","""0/999""","200","","999","""IS/Maya of Guatemala""","298","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2706","1.0","647","[""HSPST""]","1","""0/999""","","[""David Schodt""]","""0/999""","300","","999","""IR/Soc Chng Latin Am""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2707","1.0","652","[""FAMST""]","25","""0/999""","","[""C. George Holt""]","""0/999""","200","","25","""Aboriginal Cult/Austr""","263","false","","2","""2/999""","""0/999""","""C""","20012","","""Research""","2001"
"2708","1.0","653","[""FAMST""]","3","""0/999""","","[""C. George Holt""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""O""","20012","","""Research""","2001"
"2709","1.0","673","[""IS""]","24","""5/5""","","[""Charles E. Umbanhowar Sr""]","""8/999""","200","[""M 1""]","20","""Top: Politics & Scienc""","202","false","","2","""8/999""","""1/999""","""C""","20012","[""M-Th 0100-0300PM""]","""Topic""","2001"
"2710","1.0","1918","[""ID""]","15","""1/999""","","[""John Walters""]","""-1/999""","200","[""SC 18"", ""SC 18""]","16","""Computers in Health""","251","false","","2","""-2/999""","""1/999""","""C""","20012","[""M-F 1040-1230PM"", ""M-F 0130-0330PM""]","""Research""","2001"
"2711","1.0","704","[""ID""]","12","""0/999""","","[""Theodore Johnson"", ""Wesley Pearson""]","""0/999""","200","","999","""Hospital Health Care""","255","true","","2","""0/999""","""1/999""","""C""","20012","","""Research""","2001"
