"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"90833","0.25","200","[""CHEM""]","18","""0/999""","","197","","","[""William P. Roberts""]","""0/999""","200","[""RNS 340""]","22","""Synthesis Lab II""","254","true","""B""","3","""1/999""","""17/999""","""C""","20133","[""T 0800-1100""]","""Synthesis Laboratory II""","""Lab""","2013"
"90835","0.25","200","[""CHEM""]","19","""0/999""","","197","","","[""Cassidy R. Terrell""]","""1/999""","200","[""RNS 340""]","22","""Synthesis Lab II""","254","true","""E""","3","""0/999""","""18/999""","""C""","20133","[""W 0200-0500PM""]","""Synthesis Laboratory II""","""Lab""","2013"
"90836","0.25","200","[""CHEM""]","16","""0/999""","","197","","","[""Cassidy R. Terrell""]","""2/999""","200","[""RNS 340""]","22","""Synthesis Lab II""","254","true","""F""","3","""0/999""","""14/999""","""O""","20133","[""Th 0800-1100""]","""Synthesis Laboratory II""","""Lab""","2013"
"90837","0.25","200","[""CHEM""]","12","""0/999""","","197","","","[""Dipannita Kalyani""]","""1/999""","200","[""RNS 340""]","22","""Synthesis Lab II""","254","true","""G""","3","""0/999""","""11/999""","""O""","20133","[""Th 1250-0350PM""]","""Synthesis Laboratory II""","""Lab""","2013"
"90838","0.25","200","[""CHEM""]","19","""0/999""","","197","","","[""Dipannita Kalyani""]","""2/999""","200","[""RNS 340""]","22","""Synthesis Lab II""","254","true","""D""","3","""1/999""","""16/999""","""C""","20133","[""T 0300-0600PM""]","""Synthesis Laboratory II""","""Lab""","2013"
"90840","1.0","329","[""EDUC""]","12","""0/0""","","","","","[""Linda Berger""]","""12/999""","300","[""CHM 233"", ""CHM 233""]","18","""Tchg Music-Elem Schls""","355","false","","3","""0/999""","""0/0""","""O""","20133","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Teaching of Music in the Elementary School""","""Research""","2013"
"90841","1.0","325","[""EDUC""]","4","""0/0""","","","","","[""Elizabeth A. Leer""]","""1/999""","300","[""TOH 302"", ""TOH 302""]","18","""Tchg of Comm Arts/Lit""","345","false","","3","""3/999""","""0/0""","""O""","20133","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Teaching of Communication Arts/Literature, 5-12""","""Research""","2013"
"90842","1.0","327","[""EDUC""]","5","""0/0""","","","","","[""Ryota Matsuura""]","""2/999""","300","[""TOH 186"", ""TOH 186""]","18","""Tchg of Mathematics""","350","false","","3","""3/999""","""0/0""","""O""","20133","[""T 0800-0925"", ""Th 0800-0920""]","""Teaching of Mathematics, 5-12""","""Research""","2013"
"90843","1.0","333","[""EDUC""]","3","""0/0""","","","","","[""Jean R. Aguilar-Valdez""]","""0/999""","300","[""TOH 214""]","18","""Tchg of Science""","364","false","","3","""3/999""","""0/0""","""O""","20133","[""MWF 0800-0855""]","""Teaching of Science, 5-12""","""Research""","2013"
"90844","1.0","334","[""EDUC""]","4","""0/0""","","","","","[""Sarah S. McDonald""]","""1/999""","300","[""TOH 214""]","18","""Tchg of Soc Studies""","365","false","","3","""3/999""","""0/0""","""O""","20133","[""M 0700-1000PM""]","""Teaching of Social Studies, 5-12""","""Research""","2013"
