"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"114497","1.0","1154","[""PSYCH""]","[""HBS"", ""IST""]","","","","[""Daniel R. Nelson""]","100","[""RNS 150""]","""Principles: Psych""","125","false","""A""","3","""O""","20173","[""MWF 1045-1140""]","""Principles of Psychology""","""Research""","2017"
"114498","1.0","1154","[""PSYCH""]","[""HBS"", ""IST""]","","","","[""Staff""]","100","[""RNS 150"", ""TBA""]","""Principles: Psych""","125","false","""B""","3","""O""","20173","[""T 0935-1100"", ""Th 0930-1050""]","""Principles of Psychology""","""Research""","2017"
"114500","1.0","748","[""MATH""]","","","","","[""Staff""]","200","[""RNS 204""]","""Probability Theory""","262","false","""A""","3","""O""","20173","[""MWF 0800-0855""]","","""Research""","2017"
"114501","1.0","1176","[""PSYCH""]","[""HBS""]","","","","[""Carlo O. Veltri""]","200","[""RNS 190""]","""Psychopathology""","247","false","","3","""O""","20173","[""MWF 0800-0855""]","","""Research""","2017"
"114502","1.0","179","[""AMCON""]","[""ALS-A"", ""HBS"", ""ORC"", ""WRI""]","","","","[""Eric J. Fure-Slocum"", ""David R. Castro""]","200","[""CHM 232""]","""Pursuits of Happiness, 1920-Present""","202","false","""A""","3","""O""","20173","[""MWF 1150-1245PM""]","","""Research""","2017"
"114503","1.0","179","[""AMCON""]","[""ALS-A"", ""HBS"", ""ORC"", ""WRI""]","","","","[""Eric J. Fure-Slocum"", ""David R. Castro""]","200","[""CHM 239""]","""Pursuits of Happiness, 1920-Present""","202","false","""B""","3","""O""","20173","[""MWF 1150-1245PM""]","","""Research""","2017"
"114506","0.5","22779","[""EDUC""]","","","","","[""Heather Campbell""]","300","[""TOH 214""]","""Reading in the Content Area""","374","false","","3","""O""","20173","[""T 0800-0925""]","","""Research""","2017"
"114507","1.0","745","[""MATH""]","[""WRI""]","","","","[""Paul Zorn""]","200","[""TOH 186""]","""Real Analysis I""","244","false","""B""","3","""O""","20173","[""MWF 1045-1140""]","","""Research""","2017"
"114508","1.0","745","[""MATH""]","[""WRI""]","","","","[""Paul Zorn""]","200","[""TOH 186""]","""Real Analysis I""","244","false","""A""","3","""O""","20173","[""MWF 0905-1000""]","","""Research""","2017"
"114512","1.0","1365","[""SWRK""]","","","","","[""Staff""]","200","[""OM 110"", ""OM 110""]","""Res Methods/Social Work""","274","false","","3","""O""","20173","[""T 0800-0925"", ""Th 0800-0920""]","""Research Methods in Social Work""","""Research""","2017"
