"","clbid","credits","crsid","departments","gereqs","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"338",7940,1,496,"['FREN']","",NA,"['Wendy Allen']",300,"","IR/Secularism France","",398,"False","False","",1,"O",20041,"","Research",2004,1
"339",7941,1,498,"['GE']","",NA,"['Karen Cherewatuk']",100,"['RML 421']","First-Year Writing","",111,"False","False","A",1,"C",20041,"['MWF 0905-1000']","Research",2004,20
"340",7942,1,498,"['GE']","",NA,"['Richard Buckstead']",100,"['RML 420']","First-Year Writing","",111,"False","False","B",1,"C",20041,"['MWF 1045-1140']","Research",2004,16
"341",7943,1,498,"['GE']","",NA,"['Karen Cherewatuk']",100,"['RML 420']","First-Year Writing","",111,"False","False","C",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,19
"342",7944,1,498,"['GE']","",NA,"['Diane C. LeBlanc']",100,"['RML 421']","First-Year Writing","",111,"False","False","D",1,"C",20041,"['MWF 1255-0150PM']","Research",2004,19
"343",7945,1,498,"['GE']","",NA,"['Mary E. Trull']",100,"['RML 520']","First-Year Writing","",111,"False","False","E",1,"C",20041,"['MWF 1255-0150PM']","Research",2004,18
"344",7946,1,498,"['GE']","",NA,"['Jonathan Hill']",100,"['RML 421']","First-Year Writing","",111,"False","False","F",1,"C",20041,"['MWF 0200-0255PM']","Research",2004,17
"345",7947,1,498,"['GE']","",NA,"['Karen E. Marsalek']",100,"['RML 420']","First-Year Writing","",111,"False","False","G",1,"C",20041,"['MWF 0200-0255PM']","Research",2004,16
"346",7948,1,498,"['GE']","",NA,"['Mary Titus']",100,"['RML 421', 'RML 421']","First-Year Writing","",111,"False","False","H",1,"C",20041,"['T 0935-1100', 'Th 0930-1050']","Research",2004,17
"347",7949,1,498,"['GE']","",NA,"['David Wee']",100,"['RML 420', 'RML 420']","First-Year Writing","",111,"False","False","I",1,"C",20041,"['T 0935-1100', 'Th 0930-1050']","Research",2004,18
"348",7950,1,498,"['GE']","",NA,"['Mary V. Winstead']",100,"['SC 182', 'SC 182']","First-Year Writing","",111,"False","False","J",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2004,17
"349",7951,1,498,"['GE']","",NA,"['Mark Allister']",100,"['RML 421', 'RML 421']","First-Year Writing","",111,"False","False","K",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2004,20
"350",7952,1,498,"['GE']","",NA,"['Carol Holly']",100,"['RML 420', 'RML 420']","First-Year Writing","",111,"False","False","L",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2004,19
"351",7953,1,498,"['GE']","",NA,"['Eliot K. Wilson']",100,"['RML 577', 'RML 577']","First-Year Writing","",111,"False","False","M",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2004,18
"352",7954,1,498,"['GE']","",NA,"['Jon Eric Nelson']",100,"['RML 421', 'RML 421']","First-Year Writing","",111,"False","False","N",1,"C",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2004,19
"353",7955,1,498,"['GE']","",NA,"['Mary V. Winstead']",100,"['SC 182', 'SC 182']","First-Year Writing","",111,"False","False","O",1,"C",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2004,16
"354",7956,1,498,"['GE']","",NA,"['Mark Allister']",100,"['BMC 109', 'BMC 109']","First-Year Writing","",111,"False","False","P",1,"C",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2004,18
"355",7957,1,498,"['GE']","",NA,"['Mary V. Winstead']",100,"['RML 421', 'RML 421']","First-Year Writing","",111,"False","False","Q",1,"C",20041,"['T 0800-0925', 'Th 0800-0920']","Research",2004,18
"356",7958,1,504,"['GERM']","",NA,"['Lavern Rippley']",100,"['OM 015']","Beginning German I","",111,"False","False","A",1,"O",20041,"['MWF 0800-0855']","Research",2004,17
"357",7959,1,504,"['GERM']","",NA,"['Karen R. Achberger']",100,"['OM 035']","Beginning German I","",111,"False","False","B",1,"O",20041,"['MWF 0800-0855']","Research",2004,16
"358",7960,1,505,"['GERM']","",NA,"['Karl Fink']",100,"['OM 004']","Beginning German II","",112,"False","False","",1,"O",20041,"['MWF 0800-0855']","Research",2004,24
"359",7961,1,508,"['GERM']","",NA,"['Karen R. Achberger']",200,"['OM 035']","Intermed German I","",231,"False","False","A",1,"C",20041,"['MWF 0800-0855']","Research",2004,0
"360",7962,1,508,"['GERM']","",NA,"['Karl Fink']",200,"['OM 004']","Intermed German I","",231,"False","False","B",1,"O",20041,"['MWF 0905-1000']","Research",2004,18
"361",7963,1,508,"['GERM']","",NA,"['Karen R. Achberger']",200,"['OM 035']","Intermed German I","",231,"False","False","C",1,"O",20041,"['MWF 1045-1140']","Research",2004,11
"362",7964,1,509,"['GERM']","",NA,"['Lavern Rippley']",200,"['OM 035']","Intermed German II","",232,"False","False","A",1,"O",20041,"['MWF 0905-1000']","Research",2004,12
"363",7965,1,509,"['GERM']","",NA,"['Karl Fink']",200,"['OM 004']","Intermed German II","",232,"False","False","B",1,"C",20041,"['MWF 1045-1140']","Research",2004,15
"364",7966,1,514,"['GERM']","",NA,"['Lavern Rippley']",200,"['OM 035']","Speaking German","",250,"False","False","",1,"O",20041,"['MTh 0700-0830PM']","Research",2004,15
"365",7967,1,515,"['GERM']","",NA,"['Karen R. Achberger']",200,"['OM 035']","Understg Narratives","",251,"False","False","",1,"O",20041,"['MWF 1255-0150PM']","Research",2004,10
"366",7968,1,520,"['GERM']","",NA,"['Monika Albrecht']",200,"['OM 035', 'OM 035']","Top: Colonial/Post-Col","",272,"False","False","",1,"O",20041,"['T 0935-1100', 'Th 0930-1050']","Topic",2004,8
