"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"160",5798,1,1612,"['CSCI']",NA,"['Amelia J. Taylor']",100,"['SC 182']","Principles Comp Sci",172,"False","False","A",1,"O",20031,"['MWF 0800-0855']","Research",2003,34
"161",5799,1,1612,"['CSCI']",NA,"['Richard Brown']",100,"['OMH 300']","Principles Comp Sci",172,"False","False","B",1,"C",20031,"['MWF 0800-0855']","Research",2003,6
"162",5800,1,1617,"['CSCI']",NA,"['Richard Brown']",200,"['SC 184', 'SC 184']","Computer Organization",274,"False","False","",1,"O",20031,"['T 0935-1100', 'Th 0930-1050']","Research",2003,11
"163",5801,1,1614,"['CSCI']",NA,"['Matthew Richey']",300,"['SC 184', 'SC 184']","Data Structures",372,"False","False","",1,"O",20031,"['T 0800-0925', 'Th 0800-0920']","Research",2003,5
"164",5802,1,1618,"['CSCI']",NA,"['Richard Brown']",300,"['SC 184', 'SC 184']","Sem: Client-Server App",378,"False","False","",1,"O",20031,"['T 1145-0110PM', 'Th 1245-0205PM']","Seminar",2003,13
"166",5804,1,311,"['EDUC']",NA,"['John Welckle']",200,"['FH 10']","Educ Psychology",290,"False","False","A",1,"C",20031,"['MWF 1045-1140']","Research",2003,13
"167",5805,1,311,"['EDUC']",NA,"['Daniel R. Forstner']",200,"['FH 10', 'FH 10']","Educ Psychology",290,"False","False","B",1,"C",20031,"['T 0935-1100', 'Th 0930-1050']","Research",2003,13
"170",5808,1,321,"['EDUC']",NA,"['Martha Harris']",300,"['FH 10']","Principles of Educ",330,"False","False","A",1,"C",20031,"['MWF 0800-0855']","Research",2003,16
"171",5809,1,321,"['EDUC']",NA,"['Martha Harris']",300,"['FH 10']","Principles of Educ",330,"False","False","B",1,"C",20031,"['MWF 0905-1000']","Research",2003,15
"172",5810,1,321,"['EDUC']",NA,"['Maria L. Kelly']",300,"['FH 10L', 'FH 10L']","Principles of Educ",330,"False","False","C",1,"C",20031,"['T 0935-1100', 'Th 0930-1050']","Research",2003,17
"173",5811,1,322,"['EDUC']",NA,"['John Welckle']",300,"","Social Studies Persp",334,"False","False","",1,"C",20031,"","Research",2003,1
"180",5819,1,337,"['EDUC']",NA,"['Ann A. Leming']",300,"['FH 10', 'FH 10']","The Exceptional Child",376,"False","False","A",1,"C",20031,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2003,2
"181",5820,1,337,"['EDUC']",NA,"['Ann A. Leming']",300,"['FH 10', 'FH 10']","The Exceptional Child",376,"False","False","B",1,"C",20031,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2003,1
"186",5825,1,345,"['EDUC']",NA,"['John Welckle']",300,"","IR/Critical Pedagogy",398,"False","False","",1,"O",20031,"","Research",2003,1
"210",5849,1,381,"['ENGL']",NA,"['Gene Bauer']",100,"['RML 520', 'RML 520']","Intro/Academic Wri",107,"False","False","",1,"C",20031,"['T 0800-0925', 'Th 0800-0920']","Research",2003,7
"211",5850,1,383,"['ENGL']",NA,"['Staff']",100,"['BMC 109']","Skills in Composition",110,"False","False","A",1,"C",20031,"['MWF 1045-1140']","Research",2003,8
